Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2021-03-05,Opening Price,335.579987,1Y
Goldman Sachs,GS,2021-03-08,Opening Price,331.359985,1Y
Goldman Sachs,GS,2021-03-09,Opening Price,328.619995,1Y
Goldman Sachs,GS,2021-03-10,Opening Price,332.070007,1Y
Goldman Sachs,GS,2021-03-11,Opening Price,338.660004,1Y
Goldman Sachs,GS,2021-03-12,Opening Price,345.220001,1Y
Goldman Sachs,GS,2021-03-15,Opening Price,349.440002,1Y
Goldman Sachs,GS,2021-03-16,Opening Price,345.279999,1Y
Goldman Sachs,GS,2021-03-17,Opening Price,344.619995,1Y
Goldman Sachs,GS,2021-03-18,Opening Price,350.75,1Y
Goldman Sachs,GS,2021-03-19,Opening Price,346.420013,1Y
Goldman Sachs,GS,2021-03-22,Opening Price,341.059998,1Y
Goldman Sachs,GS,2021-03-23,Opening Price,337.619995,1Y
Goldman Sachs,GS,2021-03-24,Opening Price,333.420013,1Y
Goldman Sachs,GS,2021-03-25,Opening Price,327.350006,1Y
Goldman Sachs,GS,2021-03-26,Opening Price,334.51001,1Y
Goldman Sachs,GS,2021-03-29,Opening Price,320.350006,1Y
Goldman Sachs,GS,2021-03-30,Opening Price,329.410004,1Y
Goldman Sachs,GS,2021-03-31,Opening Price,330.230011,1Y
Goldman Sachs,GS,2021-04-01,Opening Price,324.299988,1Y
Goldman Sachs,GS,2021-04-05,Opening Price,332.850006,1Y
Goldman Sachs,GS,2021-04-06,Opening Price,324.48999,1Y
Goldman Sachs,GS,2021-04-07,Opening Price,327.700012,1Y
Goldman Sachs,GS,2021-04-08,Opening Price,324.290009,1Y
Goldman Sachs,GS,2021-04-09,Opening Price,334,1Y
Goldman Sachs,GS,2021-04-12,Opening Price,332.670013,1Y
Goldman Sachs,GS,2021-04-13,Opening Price,329.51001,1Y
Goldman Sachs,GS,2021-04-14,Opening Price,328.549988,1Y
Goldman Sachs,GS,2021-04-15,Opening Price,338.899994,1Y
Goldman Sachs,GS,2021-04-16,Opening Price,340.290009,1Y
Goldman Sachs,GS,2021-04-19,Opening Price,340,1Y
Goldman Sachs,GS,2021-04-20,Opening Price,339.970001,1Y
Goldman Sachs,GS,2021-04-21,Opening Price,330,1Y
Goldman Sachs,GS,2021-04-22,Opening Price,334.619995,1Y
Goldman Sachs,GS,2021-04-23,Opening Price,331.25,1Y
Goldman Sachs,GS,2021-04-26,Opening Price,341.940002,1Y
Goldman Sachs,GS,2021-04-27,Opening Price,344,1Y
Goldman Sachs,GS,2021-04-28,Opening Price,348,1Y
Goldman Sachs,GS,2021-04-29,Opening Price,350.549988,1Y
Goldman Sachs,GS,2021-04-30,Opening Price,351.119995,1Y
Goldman Sachs,GS,2021-05-03,Opening Price,350.339996,1Y
Goldman Sachs,GS,2021-05-04,Opening Price,348.899994,1Y
Goldman Sachs,GS,2021-05-05,Opening Price,352,1Y
Goldman Sachs,GS,2021-05-06,Opening Price,359.769989,1Y
Goldman Sachs,GS,2021-05-07,Opening Price,362.299988,1Y
Goldman Sachs,GS,2021-05-10,Opening Price,373.5,1Y
Goldman Sachs,GS,2021-05-11,Opening Price,363,1Y
Goldman Sachs,GS,2021-05-12,Opening Price,363.070007,1Y
Goldman Sachs,GS,2021-05-13,Opening Price,353.25,1Y
Goldman Sachs,GS,2021-05-14,Opening Price,362,1Y
Goldman Sachs,GS,2021-05-17,Opening Price,367.779999,1Y
Goldman Sachs,GS,2021-05-18,Opening Price,371.380005,1Y
Goldman Sachs,GS,2021-05-19,Opening Price,360,1Y
Goldman Sachs,GS,2021-05-20,Opening Price,358.980011,1Y
Goldman Sachs,GS,2021-05-21,Opening Price,361.48999,1Y
Goldman Sachs,GS,2021-05-24,Opening Price,367.320007,1Y
Goldman Sachs,GS,2021-05-25,Opening Price,369.910004,1Y
Goldman Sachs,GS,2021-05-26,Opening Price,365,1Y
Goldman Sachs,GS,2021-05-27,Opening Price,371.329987,1Y
Goldman Sachs,GS,2021-05-28,Opening Price,372,1Y
Home Depot,HD,2020-06-01,Adjusted Price,241.691971,1Y
Home Depot,HD,2020-06-02,Adjusted Price,246.989304,1Y
Home Depot,HD,2020-06-03,Adjusted Price,246.782822,1Y
Home Depot,HD,2020-06-04,Adjusted Price,244.767258,1Y
Home Depot,HD,2020-06-05,Adjusted Price,250.617279,1Y
Home Depot,HD,2020-06-08,Adjusted Price,252.455856,1Y
Home Depot,HD,2020-06-09,Adjusted Price,252.446045,1Y
Home Depot,HD,2020-06-10,Adjusted Price,250.17485,1Y
Home Depot,HD,2020-06-11,Adjusted Price,235.446533,1Y
Home Depot,HD,2020-06-12,Adjusted Price,238.376465,1Y
Home Depot,HD,2020-06-15,Adjusted Price,237.304779,1Y
Home Depot,HD,2020-06-16,Adjusted Price,245.750443,1Y
Home Depot,HD,2020-06-17,Adjusted Price,246.635345,1Y
Home Depot,HD,2020-06-18,Adjusted Price,245.022888,1Y
Home Depot,HD,2020-06-19,Adjusted Price,242.505905,1Y
Home Depot,HD,2020-06-22,Adjusted Price,244.97374,1Y
Home Depot,HD,2020-06-23,Adjusted Price,246.104401,1Y
